timestamp,transcript,sentiment,confidence,duration
2025-07-11T14:10:07.952705,with a skeleton bow off to a issue of how about this is wrong since the bow itself does damage to correct play is to ice with the scope bow as is coming towards you and how bout those not connect and you take note that,neutral,0.8,0
2025-07-11T14:10:25.896201,wow off to a bow off to a his,neutral,0.8,0
2025-07-11T14:10:57.467685,chris rate of progress you want mosque released his a job bottom large language monologue rock for and claims it's the smartest ai in the world along with the trust me bro benchmarks to back it up it can achieve perfect as a t scores every time and outperforms almost every grad student in every discipline five coders have been dropping all kinds of crazy demos with that like this treaty first person shooter,neutral,0.8,20.28270936012268
2025-07-11T14:11:22.398260,are built and four hours if you want himself claims it's even better than cursor all you have to do is copy and paste your entire kobe's into an addition superdrug for heavy can run in parallel to solve complex problems while you're obsolete monkey rain looks and all this beautiful futuristic you why it all sounds amazing and but there's just one problem grog is literally mega hitler or at least that's what it's been calling itself recently while offering on prompted praise to the original email kid eight on,neutral,0.8,45.21325922012329
2025-07-11T14:11:26.864540,feed off each day as the austrian painter he does,neutral,0.8,0
2025-07-11T14:13:42.786174,oh i love my football,neutral,0.8,7.59890604019165
2025-07-11T14:13:47.513740,table,neutral,0.8,12.326472282409668
2025-07-11T14:13:52.371827,yeah,neutral,0.8,17.18455958366394
2025-07-11T14:13:57.662274,for you to say what right know,neutral,0.8,22.475006580352783
2025-07-11T14:14:09.565349,go in and just won't give you support you should work,neutral,0.8,0
2025-07-11T14:14:17.514556,oh boy playing,neutral,0.8,3.3269197940826416
2025-07-11T14:14:22.376385,no more,neutral,0.8,8.188747882843018
2025-07-11T14:14:47.576633,no,neutral,0.8,11.387975454330444
2025-07-11T14:15:07.477309,what we're here,neutral,0.8,31.28865122795105
